dataset,phoenix_steady_percent,starling_percent,nominal_starling_tokens_billions
nemotron_cc/medium,30.847409,22.097363,296.585784
nemotron_cc/hq_synth,24.823951,17.782493,238.672584
nemotron_cc/medium_low,14.054737,10.068029,135.130801
nemotron_cc/hq_actual,8.337106,5.972237,80.158012
nemotron_cc/medium_high,7.526677,5.391691,72.366054
dolmino/pes2o,0.000000,5.197710,69.762480
arxiv_markdownified,0.000000,5.197710,69.762480
nemotron_cc/low_actual,6.399742,4.584418,61.531021
starcoderdata,2.281613,4.473072,60.036558
proofpile_2,0.000000,4.473072,60.036558
nemotron_cc/low_synth,5.728765,4.103768,55.079841
dolmino/flan,0.000000,3.041689,40.824859
finemath-3-plus,0.000000,3.041689,40.824859
dolmino/stackexchange,0.000000,1.529791,20.532503
stackexchange_custom,0.000000,1.529791,20.532503
all_math,0.000000,0.755055,10.134171
dolmino/wiki,0.000000,0.326534,4.382669
wikipedia_markdown,0.000000,0.326534,4.382669
medu_science_qa,0.000000,0.107354,1.440877
